time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/clip_fraction,train/value_loss,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/approx_kl,train/loss,train/policy_gradient_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
12811,151552,74,11,34.46,-246.38602672000005,0.00038803968000000006,6.510416860692204e-05,402.3763854980469,730,0.3119393587112427,0.6569122970104218,-0.5077452003955841,0.0016968367,194.7540283203125,-0.00013565775561801273,0.3,,
13015,153600,75,11,31.42,-208.85795023000003,0.00038787584000000004,0.0,453.6512191772461,740,0.31200724840164185,0.5959299504756927,-0.508046418428421,0.002161362,241.45668029785156,-0.0001942281021183545,0.3,,
13188,155648,76,11,32.09,-220.98837726,0.000387712,0.006783854286186397,407.8341552734375,750,0.3120661973953247,0.5817721486091614,-0.5084883987903595,0.010769618,203.82919311523438,-0.0045399318467025385,0.3,,
13361,157696,77,11,40.23,-308.2547734800001,0.00038754816000000005,0.02046875065425411,446.63675994873046,760,0.31214699149131775,0.6222828924655914,-0.5089203447103501,0.00095132884,230.201171875,-0.002355291503772605,0.3,,
13581,159744,78,11,32.01,-222.57538436000002,0.00038738432,0.039361979835666715,387.48402099609376,770,0.3121519684791565,0.6339995563030243,-0.5093034565448761,0.0142831495,181.59852600097656,-0.003375443450659077,0.3,,
,160000,,,,,0.00038722048,6.510416860692204e-05,420.36075897216796,780,0.3121139705181122,0.6223972141742706,-0.5090707033872605,0.002013789,193.3530731201172,-0.0002959064050810145,0.3,-270.03376804850996,36.6
13789,161792,79,11,29.96,-203.85387408999998,,,,,,,,,,,,,
13982,163840,80,11,26.81,-166.08259951,0.00038705664000000003,0.024986979784443974,333.47349853515624,790,0.3121616542339325,0.746689110994339,-0.5090591222047806,0.0063372822,158.56398010253906,-0.0046786992429406205,0.3,,
14181,165888,81,11,22.88,-130.11216068,0.0003868928,0.06666666891542264,382.42867584228514,800,0.31218934059143066,0.6339859962463379,-0.5094054609537124,0.026257006,157.78912353515625,-0.01094510206428822,0.3,,
14387,167936,82,11,18.88,-75.56625915000001,0.00038672896,0.020429688150761648,367.5224319458008,810,0.31219547986984253,0.5757180154323578,-0.5094791054725647,0.014125357,161.4659881591797,-0.007158974964841036,0.3,,
