time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,train/n_updates,time/fps,time/episodes,eval/mean_ep_length,eval/mean_reward
14580,137816,288.38,0.0003,3.293351173400879,-17.387495040893555,349.45994119999995,137715,9,724,,
14626,138275,285.66,0.0003,3.9939370155334473,-18.224950790405273,348.60956302,138174,9,728,,
14726,139261,290.43,0.0003,3.915907859802246,-16.467220306396484,357.07016560999995,139160,9,732,,
14742,139389,285.0,0.0003,2.9993700981140137,-17.695350646972656,348.62457033,139288,9,736,,
14846,140487,285.61,0.0003,4.520155906677246,-16.533702850341797,352.80611328,140386,9,740,,
14909,141025,286.11,0.0003,4.296785354614258,-16.90229034423828,353.13296316,140924,9,744,,
15064,142723,296.78,0.0003,3.4887399673461914,-19.17748260498047,381.19293053,142622,9,748,,
15120,143350,290.96,0.0003,3.4391205310821533,-18.365379333496094,364.25119693,143249,9,752,,
15257,144926,293.4,0.0003,2.950052261352539,-18.02899169921875,363.87019089000006,144825,9,756,,
15322,145684,281.31,0.0003,4.511568546295166,-17.906044006347656,335.69574885,145583,9,760,,
15414,146707,277.71,0.0003,3.06166410446167,-17.90272331237793,325.02712705,146606,9,764,,
15459,147127,263.08,0.0003,4.484890937805176,-18.162492752075195,299.73433773,147026,9,768,,
15564,148082,265.02,0.0003,2.5490684509277344,-17.53635025024414,301.86295476,147981,9,772,,
15816,150495,272.99,0.0003,2.176987886428833,-18.671539306640625,320.55682021999996,150394,9,776,,
15913,151447,274.89,0.0003,5.340221405029297,-17.505876541137695,337.61608113999995,151346,9,780,,
15963,151888,265.71,0.0003,5.077892303466797,-18.619239807128906,323.03773337,151787,9,784,,
16097,153193,258.1,0.0003,3.245854616165161,-18.346464157104492,330.26079325,153092,9,788,,
16153,153776,261.27,0.0003,2.520296096801758,-17.37797737121582,336.7508560400001,153675,9,792,,
16187,154051,250.53,0.0003,2.1069259643554688,-17.874553680419922,329.22145286000006,153950,9,796,,
16302,155385,258.88,0.0003,2.825869560241699,-18.538963317871094,331.58342082,155284,9,800,,
16531,158033,268.18,0.0003,7.596131324768066,-17.744970321655273,344.6599147,157932,9,804,,
16591,158662,263.59,0.0003,3.009167432785034,-19.073341369628906,338.5675780899999,158561,9,808,,
16665,159415,255.67,0.0003,2.9314260482788086,-16.457233428955078,326.33132653,159314,9,812,,
16701,159845,243.17,0.0003,6.487570285797119,-18.435951232910156,303.01284115000004,159744,9,816,,
16816,161033,243.55,0.0003,2.9007794857025146,-17.614215850830078,312.0522604,160932,9,820,,
16865,161539,237.23,0.0003,4.048913955688477,-17.779069900512695,306.5767301200001,161438,9,824,,
16951,162428,241.53,0.0003,2.183560609817505,-18.23310661315918,313.44266860000005,162327,9,828,,
17088,163846,245.85,0.0003,4.301449298858643,-16.735536575317383,325.01163232,163745,9,832,,
17231,165273,258.84,0.0003,2.5165395736694336,-17.22541618347168,346.15208099999995,165172,9,836,,
17322,166258,257.71,0.0003,3.2729408740997314,-19.015108108520508,341.44935484,166157,9,840,,
17501,168064,270.39,0.0003,2.8496904373168945,-18.04975128173828,366.73208184000003,167963,9,844,,
17713,170268,275.45,0.0003,3.082244396209717,-19.944873809814453,357.71564912,170167,9,848,,
17807,171136,277.86,0.0003,2.696488380432129,-17.748008728027344,364.71332662000003,171035,9,852,,
17890,171982,270.56,0.0003,1.9318857192993164,-17.49323272705078,354.30972683,171881,9,856,,
18054,173644,279.6,0.0003,2.661034107208252,-16.69083023071289,376.63947998000003,173543,9,860,,
18275,175900,291.93,0.0003,2.2542309761047363,-18.859458923339844,412.00910467,175799,9,864,,
