train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
0.00035,7,55644,831.83,418014,2398.20930902,1000,0.6652390956878662,417913,-32.63504409790039,,
0.00035,7,56087,826.58,421025,2390.7118630100003,1004,1.1708528995513916,420924,-32.730079650878906,,
0.00035,7,56681,827.91,425025,2405.7369730100004,1008,0.9794924855232239,424924,-33.36967849731445,,
0.00035,7,56847,812.49,426190,2361.65524108,1012,0.9181074500083923,426089,-32.283058166503906,,
0.00035,7,57177,804.83,428439,2323.75161052,1016,1.482919692993164,428338,-32.29743957519531,,
0.00035,7,57652,795.01,431457,2297.6911312599996,1020,0.6400641798973083,431356,-32.732845306396484,,
0.00035,7,58132,796.26,434468,2305.49200331,1024,2.9178571701049805,434367,-33.32865524291992,,
0.00035,7,58830,786.53,437495,2275.6129551,1028,0.7733087539672852,437394,-32.86951446533203,,
0.00035,7,59366,782.6,440921,2270.60678509,1032,1.2967849969863892,440820,-31.654693603515625,,
0.00035,7,61382,791.12,444590,2299.18478873,1036,1.0892187356948853,444489,-33.06175994873047,,
0.00035,7,61904,789.07,447832,2295.30581928,1040,0.8359878063201904,447731,-32.56309509277344,,
0.00035,7,62532,791.46,451832,2311.16623515,1044,1.3470748662948608,451731,-32.95818328857422,,
0.00035,7,63056,797.96,455495,2348.26799243,1048,1.0299201011657715,455394,-33.086151123046875,,
0.00035,7,63661,813.84,459495,2400.4361261,1052,5.875599384307861,459394,-33.25324249267578,,
0.00035,7,64122,823.75,462523,2432.1764624400003,1056,0.997944176197052,462422,-32.858436584472656,,
0.00035,7,64688,828.73,466523,2463.04267916,1060,0.7375108003616333,466422,-32.440643310546875,,
0.00035,7,65274,838.59,470523,2498.4350188999997,1064,2.731283187866211,470422,-33.0538444519043,,
0.00035,7,65853,845.47,474523,2526.60469666,1068,0.520622730255127,474422,-33.752132415771484,,
0.00035,7,66475,850.5,478523,2552.30556336,1072,0.887178897857666,478422,-33.35332489013672,,
0.00035,7,66939,841.11,481539,2542.49380983,1076,4.299968719482422,481438,-33.75343704223633,,
0.00035,7,67467,827.91,484791,2505.09146856,1080,1.2789433002471924,484690,-32.92625045776367,,
0.00035,7,68124,844.21,488791,2557.6750975200002,1084,4.888833999633789,488690,-34.0,,
0.00035,7,68737,848.86,492563,2579.7211235,1088,1.9090688228607178,492462,-33.63587951660156,,
0.00035,7,69386,848.86,496563,2577.09536655,1092,0.986187219619751,496462,-33.032318115234375,,
