train/actor_loss,rollout/ep_rew_mean,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps,train/learning_rate,rollout/ep_len_mean,time/episodes,eval/mean_reward,eval/mean_ep_length
-25.35790252685547,893.3656708600001,2.849795341491699,12032,149270,149169,12,0.00035,415.32,860,,
-25.754146575927734,944.44843169,4.245156288146973,12267,152320,152219,12,0.00035,431.51,864,,
-26.240461349487305,998.39291096,3.424427032470703,12471,155036,154935,12,0.00035,451.59,868,,
-25.817054748535156,981.1111143699999,3.1953160762786865,12583,156411,156310,12,0.00035,448.08,872,,
-25.18964958190918,978.8066366400001,4.193807601928711,12691,157762,157661,12,0.00035,446.3,876,,
-26.40867805480957,985.5644921999999,4.943218231201172,12750,158527,158426,12,0.00035,451.07,880,,
-24.988988876342773,1045.80766964,3.5714333057403564,12925,160898,160797,12,0.00035,473.84,884,,
-24.200748443603516,1029.75538875,2.6694042682647705,12968,161468,161367,12,0.00035,469.1,888,,
-24.36424446105957,1032.94590756,4.915211200714111,13077,162777,162676,12,0.00035,468.63,892,,
-26.110952377319336,1024.3071865299999,5.242650508880615,13182,164067,163966,12,0.00035,462.47,896,,
-26.249183654785156,1055.2891202300002,2.8168907165527344,13442,167459,167358,12,0.00035,467.95,900,,
-26.529329299926758,1067.32909059,5.588517665863037,13578,169267,169166,12,0.00035,471.29,904,,
-25.740039825439453,1059.00206842,3.3769478797912598,13619,169796,169695,12,0.00035,468.46,908,,
-26.181804656982422,1075.99442926,5.150864601135254,13837,172695,172594,12,0.00035,470.4,912,,
-27.559650421142578,1084.2263352700002,7.958515644073486,14130,176554,176453,12,0.00035,472.08,916,,
-26.973711013793945,1134.51733998,2.2338993549346924,14422,180211,180110,12,0.00035,487.39,920,,
-26.802331924438477,1121.5938228700002,3.0855014324188232,14555,181795,181694,12,0.00035,482.78,924,,
-27.679414749145508,1167.60545518,1.4152463674545288,14781,184732,184631,12,0.00035,496.33,928,,
-27.141677856445312,1220.73566168,1.877550482749939,14963,186996,186895,12,0.00035,513.99,932,,
-27.296337127685547,1239.2451482299998,3.2639317512512207,15079,188505,188404,12,0.00035,518.17,936,,
-27.517452239990234,1251.7881448599999,1.8329825401306152,15304,191330,191229,12,0.00035,521.23,940,,
-28.908639907836914,1327.2306423400003,1.5857148170471191,15628,195330,195229,12,0.00035,545.27,944,,
-27.474672317504883,1314.65416376,2.3402976989746094,15778,197272,197171,12,0.00035,536.17,948,,
-27.747573852539062,,1.504595160484314,,200000,199899,,0.00035,,,2948.8181192,966.2
-28.375864028930664,1386.1046707699998,1.8123364448547363,16403,200763,200662,12,0.00035,558.71,952,,
-27.738988876342773,1446.3579664,1.9438917636871338,16685,204435,204334,12,0.00035,574.03,956,,
-28.929527282714844,1465.1940718900003,6.968801021575928,16912,207379,207278,12,0.00035,581.09,960,,
-28.686100006103516,1440.8590305400003,2.8933281898498535,17140,210229,210128,12,0.00035,579.09,964,,
-29.8922176361084,1457.2265438899997,1.4347984790802002,17358,213093,212992,12,0.00035,580.57,968,,
-29.57726287841797,1521.82125922,1.281198263168335,17582,215987,215886,12,0.00035,595.76,972,,
-28.599056243896484,1560.75791581,1.6755515336990356,17762,218342,218241,12,0.00035,605.8,976,,
-29.826520919799805,1646.6585929999999,1.361844778060913,18020,221641,221540,12,0.00035,631.14,980,,
-29.48655128479004,1691.71142532,6.319451332092285,18659,225322,225221,12,0.00035,644.24,984,,
-30.074230194091797,1717.0937778200002,1.6341029405593872,18816,227274,227173,12,0.00035,658.06,988,,
-30.586585998535156,1740.12829627,1.7740498781204224,18983,229421,229320,12,0.00035,666.44,992,,
-29.432153701782227,1786.6036271300002,1.6901687383651733,19193,232135,232034,12,0.00035,680.68,996,,
-29.37087631225586,1778.92461736,3.008848190307617,19407,234866,234765,12,0.00035,674.07,1000,,
-30.08130645751953,1795.0891402900002,1.1642999649047852,19576,237000,236899,12,0.00035,677.33,1004,,
-30.642637252807617,1833.9116679300005,0.8861023187637329,19697,238513,238412,12,0.00035,687.17,1008,,
-31.095592498779297,1847.1690118200004,0.9190490245819092,19934,241708,241607,12,0.00035,690.13,1012,,
-30.403614044189453,1850.3158136099999,1.8715403079986572,20188,245125,245024,12,0.00035,685.71,1016,,
-29.70633316040039,1819.14305818,1.739595890045166,20357,247420,247319,12,0.00035,672.09,1020,,
-30.886962890625,1855.29160071,2.3299989700317383,20517,249590,249489,12,0.00035,677.95,1024,,
-31.160131454467773,1874.7863582699997,0.9218815565109253,20756,252816,252715,12,0.00035,680.84,1028,,
-30.303144454956055,1905.9373855500003,1.1388847827911377,20985,255939,255838,12,0.00035,689.43,1032,,
-30.36130142211914,1925.37454608,3.695789337158203,21131,257828,257727,12,0.00035,693.23,1036,,
-31.620044708251953,1945.1735567700005,5.498687267303467,21363,260816,260715,12,0.00035,694.86,1040,,
-31.129566192626953,1898.3631617900005,0.7733273506164551,21540,263149,263048,12,0.00035,678.19,1044,,
-30.789642333984375,1873.25660781,5.412589073181152,21623,264262,264161,12,0.00035,669.9,1048,,
-30.97032928466797,1847.1253206499998,0.8615614771842957,21814,266756,266655,12,0.00035,659.93,1052,,
