train/n_updates,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/ent_coef,train/critic_loss,time/fps,time/time_elapsed,train/learning_rate,time/episodes,eval/mean_reward,eval/mean_ep_length
39903,-11.374929428100586,0.07971204817295074,79908,0.10854896157979965,2.2351019382476807,10,7643,0.0003,744,,
41409,-12.039515495300293,0.1920584738254547,82919,0.11129903793334961,2.7433085441589355,10,7907,0.0003,748,,
42650,-11.841991424560547,-0.2435091733932495,85402,0.11183077096939087,2.7950196266174316,10,8132,0.0003,752,,
44159,-11.62211799621582,-0.35992327332496643,88420,0.11049562692642212,3.802773952484131,10,8398,0.0003,756,,
45305,-11.535950660705566,0.2533789873123169,90711,0.11339451372623444,2.4059205055236816,10,8606,0.0003,760,,
46925,-13.469217300415039,0.2146240770816803,93952,0.11229478567838669,2.186260223388672,10,8890,0.0003,764,,
48925,-12.817485809326172,-0.00761878676712513,97952,0.11056084930896759,5.214900016784668,10,9240,0.0003,768,,
49949,-11.233707427978516,0.6716878414154053,100000,0.10815612226724625,3.138014316558838,,,0.0003,,1640.6127445354887,639.2
50949,-13.563429832458496,0.3597761392593384,102000,0.11413174867630005,2.239974021911621,10,9856,0.0003,772,,
52458,-14.078153610229492,-0.5565493106842041,105017,0.11409904807806015,2.660670280456543,10,10089,0.0003,776,,
54458,-13.781490325927734,0.03183141350746155,109017,0.11115562170743942,1.9152357578277588,10,10405,0.0003,780,,
55470,-14.210911750793457,0.0828157514333725,111041,0.11225856840610504,2.322467088699341,10,10575,0.0003,784,,
56976,-14.038582801818848,-0.050222404301166534,114054,0.11140164732933044,3.5052566528320312,10,10812,0.0003,788,,
58976,-13.410808563232422,0.14945459365844727,118054,0.11492563039064407,1.60996413230896,10,11125,0.0003,792,,
60823,-13.654806137084961,-0.2606229782104492,121747,0.11394396424293518,2.0972790718078613,10,11428,0.0003,796,,
62279,-15.046991348266602,0.3258899748325348,124659,0.11505519598722458,1.3552696704864502,10,11853,0.0003,800,,
64071,-14.779287338256836,-0.006359577178955078,128243,0.11603657156229019,2.7625200748443604,10,12181,0.0003,804,,
66071,-15.12491512298584,0.03827671706676483,132243,0.11133573949337006,2.3631443977355957,10,12540,0.0003,808,,
67168,-14.880531311035156,-0.029419608414173126,134438,0.11366714537143707,3.186890125274658,10,12738,0.0003,812,,
67948,-15.021120071411133,-0.22978638112545013,135998,0.11499889194965363,1.6335783004760742,10,12878,0.0003,816,,
69640,-15.561639785766602,0.23962095379829407,139381,0.11769851297140121,1.2070410251617432,10,13184,0.0003,820,,
71212,-14.604360580444336,-0.36663785576820374,142526,0.11499182134866714,1.6951866149902344,10,13469,0.0003,824,,
73212,-14.167603492736816,-0.2718471884727478,146526,0.11523229628801346,1.5068397521972656,10,13832,0.0003,828,,
74669,-15.298113822937012,0.2796287536621094,149440,0.1183043122291565,3.645397424697876,10,14103,0.0003,832,,
76669,-14.894004821777344,0.04412606358528137,153440,0.11557074636220932,1.0245254039764404,10,14472,0.0003,836,,
78176,-15.881817817687988,0.008408209308981895,156454,0.12183373421430588,2.3565592765808105,10,14751,0.0003,840,,
80027,-14.931662559509277,-0.4318605661392212,160156,0.12248720973730087,1.2236783504486084,10,15101,0.0003,844,,
82027,-15.326648712158203,0.17292433977127075,164156,0.12334445863962173,2.194563627243042,10,15417,0.0003,848,,
83046,-15.55226993560791,0.0009855479001998901,166194,0.12320361286401749,1.7208309173583984,10,15579,0.0003,852,,
84058,-15.931219100952148,-0.4212796092033386,168217,0.11803311109542847,4.073980331420898,10,15755,0.0003,856,,
85026,-17.050823211669922,-0.49254339933395386,170153,0.11950927972793579,0.7493331432342529,10,15904,0.0003,860,,
86723,-15.61380386352539,0.04109770059585571,173547,0.11391301453113556,1.5362622737884521,10,16184,0.0003,864,,
88723,-16.620494842529297,-0.1853111833333969,177547,0.1154581755399704,1.9123854637145996,10,16499,0.0003,868,,
89561,-15.551778793334961,-0.23894649744033813,179223,0.11282940208911896,0.8065150380134583,10,16649,0.0003,872,,
91209,-16.313030242919922,0.20264440774917603,182519,0.11163104325532913,1.2983458042144775,10,16942,0.0003,876,,
92750,-15.276342391967773,-0.0887121856212616,185602,0.11137580126523972,2.363189697265625,10,17218,0.0003,880,,
93573,-16.90978240966797,-0.12104476988315582,187247,0.10859517753124237,2.4909234046936035,10,17369,0.0003,884,,
94740,-16.967510223388672,0.1708015352487564,189582,0.11115381866693497,1.6486008167266846,10,17577,0.0003,888,,
95971,-16.721141815185547,-0.08850531280040741,192043,0.11195279657840729,1.7622816562652588,10,17786,0.0003,892,,
97289,-15.830253601074219,-0.1362917572259903,194679,0.11202015727758408,1.6798628568649292,10,18039,0.0003,896,,
98795,-15.21700668334961,-0.03803079202771187,197692,0.11220283061265945,1.669771432876587,10,18311,0.0003,900,,
99949,-18.262714385986328,0.02270849049091339,200000,0.11183573305606842,1.9200093746185303,,,0.0003,,2944.2944479774683,1000.0
100949,-18.088899612426758,-0.0447668731212616,202000,0.10984116047620773,2.196337938308716,10,19161,0.0003,904,,
102949,-17.71916961669922,-0.32601431012153625,206000,0.1100691482424736,2.3351144790649414,10,19528,0.0003,908,,
104949,-17.251178741455078,-0.17058144509792328,210000,0.11293519288301468,4.307798862457275,10,19902,0.0003,912,,
106949,-17.40096664428711,0.0915650725364685,214000,0.11312725394964218,2.2958950996398926,10,20231,0.0003,916,,
108949,-18.00775146484375,0.039239078760147095,218000,0.11157628148794174,2.092144012451172,10,20540,0.0003,920,,
110949,-17.82013702392578,-0.07103338837623596,222000,0.10977271944284439,1.8925138711929321,10,20867,0.0003,924,,
112949,-18.37656021118164,-0.2335347682237625,226000,0.10821475833654404,3.5826268196105957,10,21180,0.0003,928,,
114456,-18.39053726196289,-0.23455649614334106,229013,0.10792411863803864,1.2849541902542114,10,21415,0.0003,932,,
116456,-18.316904067993164,0.07564370334148407,233013,0.10774561017751694,1.5080349445343018,10,21729,0.0003,936,,
117965,-18.650177001953125,-0.40907618403434753,236031,0.10929641872644424,0.8390623331069946,10,21978,0.0003,940,,
119848,-17.527347564697266,-0.2514529824256897,239798,0.10983137041330338,1.9665782451629639,10,22340,0.0003,944,,
121848,-17.478540420532227,0.06742547452449799,243798,0.10741450637578964,3.6845452785491943,10,22701,0.0003,948,,
123848,-18.55471420288086,0.21669602394104004,247798,0.10961217433214188,2.183868646621704,10,23083,0.0003,952,,
125848,-18.128265380859375,-0.6286300420761108,251798,0.10821227729320526,3.660813331604004,10,23467,0.0003,956,,
127848,-17.984355926513672,-0.2930077910423279,255798,0.10641944408416748,3.2802047729492188,10,23853,0.0003,960,,
129355,-20.21712875366211,0.052366796880960464,258811,0.10756035149097443,0.7695784568786621,10,24131,0.0003,964,,
130858,-18.6507568359375,-0.3093053996562958,261818,0.10623162984848022,2.3251919746398926,10,24370,0.0003,968,,
131876,-17.42673110961914,0.20544756948947906,263853,0.10840005427598953,6.481548309326172,10,24531,0.0003,972,,
133382,-19.819534301757812,0.004539407789707184,266866,0.10454394668340683,0.5384458303451538,10,24774,0.0003,976,,
