rollout/ep_len_mean,train/actor_loss,train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/fps,time/episodes,train/critic_loss,eval/mean_reward,eval/mean_ep_length
15.44,11.01776123046875,12934,13035,-30.403787960000002,1914,0.0003,6,844,5.513872146606445,,
15.54,11.496282577514648,12995,13096,-29.981645920000002,1921,0.0003,6,848,7.727250099182129,,
15.45,9.610236167907715,13045,13146,-30.10216164,1934,0.0003,6,852,5.192734718322754,,
15.51,9.929031372070312,13103,13204,-29.689691800000006,1942,0.0003,6,856,5.194786548614502,,
15.51,9.757863998413086,13158,13259,-30.283549960000002,1950,0.0003,6,860,6.484467506408691,,
15.57,11.412635803222656,13217,13318,-30.37028264,1957,0.0003,6,864,6.702766418457031,,
15.58,11.308321952819824,13273,13374,-30.607488440000008,1964,0.0003,6,868,8.158323287963867,,
15.35,10.212080955505371,13338,13439,-30.04835973,1972,0.0003,6,872,6.2915167808532715,,
15.04,10.687911033630371,13393,13494,-27.509490000000007,1986,0.0003,6,876,8.123475074768066,,
14.96,9.941034317016602,13464,13565,-26.28192823,1995,0.0003,6,880,5.7110676765441895,,
14.89,10.022384643554688,13519,13620,-26.556472,2002,0.0003,6,884,4.759547233581543,,
14.65,10.848982810974121,13567,13668,-26.4989666,2009,0.0003,6,888,6.1640825271606445,,
14.8,10.298986434936523,13636,13737,-26.610863249999998,2018,0.0003,6,892,9.247393608093262,,
14.77,10.9857816696167,13696,13797,-26.938751049999997,2026,0.0003,6,896,5.9633002281188965,,
15.21,10.67050552368164,13802,13903,-29.01525662,2044,0.0003,6,900,6.852590560913086,,
15.35,10.856019020080566,13876,13977,-28.412127610000002,2054,0.0003,6,904,6.368770599365234,,
15.57,10.011014938354492,13957,14058,-27.85236549,2064,0.0003,6,908,5.149228096008301,,
15.59,9.802412033081055,14015,14116,-27.27586589,2072,0.0003,6,912,5.853121757507324,,
15.77,9.957740783691406,14075,14176,-26.42147267,2081,0.0003,6,916,5.97689151763916,,
15.81,10.930341720581055,14135,14236,-25.679110789999996,2088,0.0003,6,920,5.43306827545166,,
15.99,10.710977554321289,14206,14307,-26.031210559999995,2097,0.0003,6,924,4.884744167327881,,
15.94,10.550406455993652,14256,14357,-25.91269829,2110,0.0003,6,928,4.997566223144531,,
15.64,10.508172988891602,14310,14411,-25.982568900000004,2118,0.0003,6,932,6.9058942794799805,,
15.86,10.492372512817383,14374,14475,-25.85900002,2126,0.0003,6,936,5.3463592529296875,,
15.71,11.255054473876953,14431,14532,-25.454406810000002,2134,0.0003,6,940,6.353699207305908,,
15.48,10.78662109375,14482,14583,-24.831775590000003,2142,0.0003,6,944,8.621442794799805,,
15.46,10.57567024230957,14541,14642,-24.699390190000003,2150,0.0003,6,948,5.637399196624756,,
15.5,10.562536239624023,14595,14696,-24.577132340000002,2164,0.0003,6,952,8.133657455444336,,
15.59,10.154439926147461,14662,14763,-23.664206030000006,2172,0.0003,6,956,6.870478630065918,,
15.67,11.233633041381836,14725,14826,-22.453915320000007,2181,0.0003,6,960,5.994889736175537,,
15.54,11.265975952148438,14771,14872,-21.84827122,2187,0.0003,6,964,9.797258377075195,,
15.68,10.580779075622559,14841,14942,-21.019318380000005,2198,0.0003,6,968,6.285816192626953,,
15.57,10.246444702148438,14895,14996,-19.90866121,2204,0.0003,6,972,6.433703422546387,,
15.69,10.747225761413574,14962,15063,-20.3508495,2218,0.0003,6,976,5.936897277832031,,
15.47,10.575783729553223,15011,15112,-20.47423005,2225,0.0003,6,980,5.192298889160156,,
15.45,10.297979354858398,15064,15165,-20.750543430000004,2232,0.0003,6,984,6.659183025360107,,
15.47,10.241532325744629,15114,15215,-21.01265699,2240,0.0003,6,988,6.468729019165039,,
15.38,10.095856666564941,15174,15275,-22.042331920000002,2248,0.0003,6,992,6.055200576782227,,
15.29,10.203947067260742,15225,15326,-22.434885089999998,2255,0.0003,6,996,8.019546508789062,,
14.72,9.457269668579102,15274,15375,-21.662064800000003,2268,0.0003,6,1000,6.416713237762451,,
14.74,10.216378211975098,15350,15451,-21.842492340000003,2277,0.0003,6,1004,3.7904539108276367,,
14.58,10.303644180297852,15415,15516,-21.912022279999995,2286,0.0003,6,1008,7.378786087036133,,
14.51,10.179607391357422,15466,15567,-21.96939171,2293,0.0003,6,1012,8.52872085571289,,
14.5,10.716765403747559,15525,15626,-22.323353610000005,2301,0.0003,6,1016,6.398685455322266,,
14.65,9.81657886505127,15600,15701,-22.225310499999996,2310,0.0003,6,1020,6.187179088592529,,
14.4,11.540979385375977,15646,15747,-21.720849619999996,2316,0.0003,6,1024,6.928942680358887,,
14.57,9.56653118133545,15713,15814,-22.927069860000003,2330,0.0003,6,1028,5.659839153289795,,
14.72,10.243488311767578,15782,15883,-23.750048619999998,2339,0.0003,6,1032,5.008037567138672,,
14.67,10.011371612548828,15841,15942,-24.72450504,2347,0.0003,6,1036,3.994447708129883,,
14.72,9.697165489196777,15903,16004,-24.953421420000005,2355,0.0003,6,1040,5.952939033508301,,
14.62,10.255440711975098,15944,16045,-24.992596010000007,2362,0.0003,6,1044,4.948513031005859,,
14.61,10.478507041931152,16002,16103,-26.40315452,2370,0.0003,6,1048,6.3516435623168945,,
14.67,10.611244201660156,16062,16163,-26.873433679999998,2383,0.0003,6,1052,5.622336387634277,,
14.53,10.052162170410156,16115,16216,-27.45357637,2391,0.0003,6,1056,8.252984046936035,,
14.36,11.256935119628906,16161,16262,-28.073923,2397,0.0003,6,1060,5.565928936004639,,
14.35,10.223276138305664,16206,16307,-28.882959,2403,0.0003,6,1064,6.12180233001709,,
14.15,12.159672737121582,16256,16357,-29.55252372,2411,0.0003,6,1068,5.841310501098633,,
14.14,10.538654327392578,16309,16410,-30.051668090000003,2418,0.0003,6,1072,6.088287830352783,,
14.03,10.21282958984375,16365,16466,-29.938235089999992,2432,0.0003,6,1076,6.130153656005859,,
14.23,10.24278450012207,16434,16535,-29.610550009999997,2441,0.0003,6,1080,6.1461968421936035,,
14.16,11.453292846679688,16480,16581,-29.219061260000004,2447,0.0003,6,1084,6.3849005699157715,,
14.3,10.553108215332031,16544,16645,-29.42944518,2456,0.0003,6,1088,7.326837539672852,,
14.4,10.976245880126953,16614,16715,-28.266567579999997,2465,0.0003,6,1092,6.228322982788086,,
14.57,10.086028099060059,16682,16783,-27.94205183,2473,0.0003,6,1096,7.035614490509033,,
14.73,10.580948829650879,16747,16848,-26.345058889999997,2487,0.0003,6,1100,6.891865253448486,,
14.52,10.95651912689209,16802,16903,-25.670547349999996,2494,0.0003,6,1104,5.463641166687012,,
14.46,10.552210807800293,16861,16962,-25.414832219999994,2501,0.0003,6,1108,5.7256388664245605,,
14.35,10.102928161621094,16901,17002,-25.255225350000003,2507,0.0003,6,1112,5.549724102020264,,
14.29,9.979118347167969,16954,17055,-25.043249920000004,2514,0.0003,6,1116,5.476717948913574,,
14.22,9.794252395629883,17022,17123,-25.283361760000002,2522,0.0003,6,1120,6.340937614440918,,
