time/total_timesteps,train/ent_coef_loss,train/actor_loss,time/episodes,train/ent_coef,train/n_updates,train/learning_rate,time/fps,time/time_elapsed,train/critic_loss,eval/mean_ep_length,eval/mean_reward
618020,0.1278371959924698,-22.366748809814453,892,0.08214141428470612,308959,0.0003,10,58953,1.73856520652771,,
620177,0.2868732511997223,-22.276832580566406,896,0.08159411698579788,310038,0.0003,10,59142,2.0287694931030273,,
624177,0.5156024694442749,-20.385921478271484,900,0.08146315813064575,312038,0.0003,10,59505,3.8686697483062744,,
628183,0.3884056806564331,-21.927383422851562,904,0.08071883022785187,314041,0.0003,10,59871,0.7376534938812256,,
632183,0.036383867263793945,-20.986873626708984,908,0.07865342497825623,316041,0.0003,10,60237,3.66023588180542,,
634514,0.05513212829828262,-22.0813045501709,912,0.08078289777040482,317206,0.0003,10,60452,0.8215168118476868,,
637526,-0.14791393280029297,-21.372421264648438,916,0.0788910910487175,318712,0.0003,10,60721,2.3255414962768555,,
641526,0.31594255566596985,-23.31572723388672,920,0.07877546548843384,320712,0.0003,10,61056,0.6749400496482849,,
645526,-0.4770759642124176,-21.41696548461914,924,0.07553013414144516,322712,0.0003,10,61383,4.995917320251465,,
649526,0.4164029359817505,-21.993854522705078,928,0.07339434325695038,324712,0.0003,10,61725,0.44626593589782715,,
653526,0.07788652926683426,-22.164329528808594,932,0.07455994933843613,326712,0.0003,10,62059,0.5488756895065308,,
657526,0.015051491558551788,-22.0975341796875,936,0.07375863939523697,328712,0.0003,10,62389,0.3364533483982086,,
661526,-0.29485127329826355,-22.46629524230957,940,0.07185975462198257,330712,0.0003,10,62740,4.752089023590088,,
