rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,train/learning_rate,train/critic_loss,time/fps,time/total_timesteps,time/time_elapsed,train/n_updates,time/episodes,eval/mean_reward,eval/mean_ep_length
2240.43909508,-31.18218231201172,786.93,3e-05,1.4073090553283691,13,514590,38589,1174388,592,,
2280.3306886900004,-31.566612243652344,798.54,3e-05,0.7470919489860535,13,517642,38821,1177440,596,,
2184.36692162,-31.258235931396484,770.63,3e-05,1.399289608001709,13,518851,38910,1178649,600,,
2159.5352487399996,-32.18492889404297,761.8,3e-05,1.1963531970977783,13,521693,39114,1181491,604,,
2146.92093737,-31.22484588623047,757.32,3e-05,1.1910347938537598,13,524585,39322,1184383,608,,
2117.7861866000003,-30.483928680419922,748.45,3e-05,1.3728868961334229,13,527698,39551,1187496,612,,
2057.8929003,-30.143295288085938,725.55,3e-05,1.7765254974365234,13,529408,39678,1189206,616,,
2054.5751499599996,-30.316490173339844,721.06,3e-05,1.400702953338623,13,532276,39888,1192074,620,,
2041.0988200500003,-32.04517364501953,711.71,3e-05,1.2833433151245117,13,535341,40087,1195139,624,,
2033.5209718100002,-31.740497589111328,703.53,3e-05,1.554863691329956,13,538061,40270,1197859,628,,
2015.2723224899999,-30.653993606567383,695.6,3e-05,1.3946996927261353,13,541268,40478,1201066,632,,
2040.14728825,-31.406097412109375,697.29,3e-05,5.4237284660339355,13,545268,40736,1205066,636,,
2058.7476719700003,-31.570415496826172,697.2,3e-05,0.6590797305107117,13,549268,40990,1209066,640,,
2077.49879494,-31.725868225097656,698.34,3e-05,5.860074043273926,13,552597,41215,1212395,644,,
2107.10030776,-31.447477340698242,705.2,3e-05,0.8433538675308228,13,556571,41484,1216369,648,,
2136.8200386599997,-30.69677734375,709.64,3e-05,4.644671440124512,13,559773,41688,1219571,652,,
2195.58567725,-32.082618713378906,720.42,3e-05,1.385827660560608,13,563773,41950,1223571,656,,
2221.3742929800005,-32.33962631225586,726.53,3e-05,5.248650074005127,13,566280,42119,1226078,660,,
2250.3839021,-33.369834899902344,733.2,3e-05,0.6901580691337585,13,568726,42284,1228524,664,,
2316.94647151,-32.4833984375,751.52,3e-05,1.1084671020507812,13,572277,42521,1232075,668,,
2328.12788581,-32.387054443359375,762.84,3e-05,0.7790933847427368,13,575880,42783,1235678,672,,
2314.60409934,-31.91626739501953,761.44,3e-05,1.4319440126419067,13,579470,43046,1239268,676,,
2315.25410803,-32.07844543457031,766.2,3e-05,1.2999153137207031,13,583470,43368,1243268,680,,
2326.3920551799997,-32.04894256591797,772.62,3e-05,1.786937952041626,13,586152,43593,1245950,684,,
2330.9690992799997,-31.33294677734375,771.1,3e-05,2.9713635444641113,13,589036,43830,1248834,688,,
2329.81851336,-31.685312271118164,770.75,3e-05,2.5713820457458496,13,591665,44044,1251463,692,,
2359.83041968,-32.002838134765625,780.23,3e-05,1.7114131450653076,13,595665,44376,1255463,696,,
2411.02825742,-32.377220153808594,796.65,3e-05,0.6174278855323792,13,598516,44593,1258314,700,,
,-32.231109619140625,,3e-05,0.7583646178245544,,600000,,1259798,,2098.9803660000002,730.0
2373.8661602,-32.02476501464844,793.07,3e-05,4.482329368591309,13,601000,45038,1260798,704,,
2395.5899018600003,-32.37554168701172,799.13,3e-05,2.6426854133605957,13,604498,45292,1264296,708,,
2418.9084614699996,-32.591041564941406,807.48,3e-05,1.346673607826233,13,608446,45573,1268244,712,,
2457.47208728,-32.37210464477539,817.89,3e-05,5.609711170196533,13,611197,45782,1270995,716,,
2462.75975168,-31.06610107421875,820.55,3e-05,1.4962286949157715,13,614331,46010,1274129,720,,
2489.73703687,-32.707054138183594,829.9,3e-05,1.5293331146240234,13,618331,46297,1278129,724,,
2526.68939696,-33.27119064331055,842.7,3e-05,1.6242060661315918,13,622331,46583,1282129,728,,
2485.76547366,-32.380096435546875,833.28,3e-05,1.1738789081573486,13,624596,46752,1284394,732,,
2421.8093917099995,-33.50738525390625,818.1,3e-05,0.5275601148605347,13,627078,46932,1286876,736,,
2382.6528298800004,-32.588539123535156,808.4,3e-05,5.708010673522949,13,630108,47144,1289906,740,,
2403.5747493199997,-32.67104721069336,814.04,3e-05,1.6524814367294312,13,634001,47404,1293799,744,,
2415.5141574699996,-32.979679107666016,814.3,3e-05,4.903797626495361,13,638001,47659,1297799,748,,
2453.38319338,-32.89018249511719,822.28,3e-05,0.884914219379425,13,642001,47917,1301799,752,,
2420.9417625600004,-32.55774688720703,813.64,3e-05,0.4122629165649414,13,645137,48117,1304935,756,,
2479.9910851799996,-33.36641311645508,828.46,3e-05,0.7009662389755249,13,649126,48380,1308924,760,,
2547.6233980599995,-32.81022644042969,844.0,3e-05,1.4473419189453125,13,653126,48640,1312924,764,,
2540.21008743,-33.294822692871094,848.49,3e-05,1.9668749570846558,13,657126,48888,1316924,768,,
2573.6213824799997,-32.922210693359375,846.53,3e-05,4.5354838371276855,13,660533,49107,1320331,772,,
2542.1262868399995,-32.754329681396484,834.73,3e-05,0.8940385580062866,13,662943,49259,1322741,776,,
2573.8571936000003,-33.64441680908203,834.73,3e-05,1.0325573682785034,13,666943,49513,1326741,780,,
2641.67831549,-33.00422668457031,847.91,3e-05,0.5018295645713806,13,670943,49763,1330741,784,,
2635.9091287500005,-33.472965240478516,845.79,3e-05,0.7259941101074219,13,673615,49937,1333413,788,,
2668.24240154,-33.153846740722656,850.85,3e-05,0.9113616943359375,13,676750,50142,1336548,792,,
2662.97621787,-33.747169494628906,844.23,3e-05,0.6622042655944824,13,680088,50352,1339886,796,,
2722.1839361699995,-33.74498748779297,855.72,3e-05,0.7282837629318237,13,684088,50610,1343886,800,,
2801.7058754,-33.98014831542969,870.88,3e-05,0.3378201127052307,13,688088,50862,1347886,804,,
2791.49726601,-32.784210205078125,866.2,3e-05,2.2880420684814453,13,691118,51052,1350916,808,,
2776.9436339000003,-33.88865661621094,854.01,3e-05,0.8699547052383423,13,693847,51226,1353645,812,,
2783.811449939999,-34.24659729003906,854.56,3e-05,0.49662265181541443,13,696653,51414,1356451,816,,
2774.2097104499994,-34.68574523925781,851.54,3e-05,1.0348533391952515,13,699485,51620,1359283,820,,
,-34.1328010559082,,3e-05,0.4842526316642761,,700000,,1359798,,2064.7249192,772.2
2758.56202598,-34.35936737060547,848.51,3e-05,4.929186820983887,13,703182,52175,1362980,824,,
2758.2258277800006,-33.68254470825195,848.1,3e-05,0.6381850838661194,13,707141,52463,1366939,828,,
2792.28138117,-34.674705505371094,858.43,3e-05,0.277532160282135,13,710439,52701,1370237,832,,
2780.97304203,-34.59268569946289,858.8,3e-05,0.7325419783592224,13,712958,52894,1372756,836,,
2805.3292745199997,-34.51545715332031,868.5,3e-05,0.6062465310096741,13,716958,53184,1376756,840,,
2735.8235947999997,-34.25047302246094,853.86,3e-05,0.6663214564323425,13,719387,53359,1379185,844,,
2699.0338778699997,-33.620235443115234,854.39,3e-05,1.15084969997406,13,723440,53656,1383238,848,,
