train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/total_timesteps,time/episodes,train/actor_loss,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length
0.0003,0.31946298480033875,10,467954,468055,988,-32.52959060668945,770.92,42803,2136.56007323,,
0.0003,5.888733863830566,10,470073,470174,992,-31.68724822998047,767.65,43008,2135.68915392,,
0.0003,0.4894763231277466,10,472633,472734,996,-31.503555297851562,766.39,43245,2128.27500132,,
0.0003,0.591102659702301,10,475056,475157,1000,-31.392431259155273,770.32,43474,2138.0669355599994,,
0.0003,1.0710787773132324,10,479056,479157,1004,-31.54941177368164,776.58,43828,2217.05376943,,
0.0003,0.810695469379425,10,483056,483157,1008,-32.333011627197266,783.93,44152,2266.90292852,,
0.0003,0.9351787567138672,10,484453,484554,1012,-32.769371032714844,757.9,44269,2206.7253724899997,,
0.0003,3.9343507289886475,10,486574,486675,1016,-32.248931884765625,749.02,44436,2196.82885095,,
0.0003,0.5144796371459961,10,488878,488979,1020,-31.912385940551758,732.06,44620,2141.4324978899995,,
0.0003,0.5714821219444275,10,491098,491199,1024,-32.36016082763672,731.11,44791,2135.74525501,,
0.0003,1.0387214422225952,10,491541,491642,1028,-31.6312255859375,705.23,44839,2022.7576546,,
0.0003,0.6554505228996277,10,494655,494756,1032,-31.257455825805664,696.37,45132,1981.1208092300003,,
0.0003,4.849456787109375,10,496774,496875,1036,-30.448352813720703,677.56,45325,1971.3202427799997,,
0.0003,0.5431098937988281,10,499884,499985,1040,-31.81756019592285,668.66,45605,1927.42279694,,
0.0003,1.3069487810134888,,499899,500000,,-31.235275268554688,,,,1737.5029886,645.8
0.0003,5.0704779624938965,10,502121,502222,1044,-31.843385696411133,659.88,46105,1883.92881059,,
0.0003,0.9709892868995667,10,503488,503589,1048,-31.048290252685547,639.19,46249,1798.95523169,,
0.0003,0.5811988115310669,10,505800,505901,1052,-31.326068878173828,629.99,46466,1756.53964869,,
0.0003,4.641894817352295,10,509800,509901,1056,-31.714292526245117,655.05,46839,1843.9734129800001,,
0.0003,0.46833547949790955,10,513800,513901,1060,-32.83081817626953,669.77,47198,1905.9440829200003,,
0.0003,5.0497846603393555,10,516909,517010,1064,-31.65601348876953,661.9,47472,1897.6625469800003,,
0.0003,0.5737994909286499,10,519030,519131,1068,-31.422748565673828,661.86,47675,1899.5390045699999,,
0.0003,0.7331718802452087,10,523018,523119,1072,-32.52027130126953,664.01,48031,1898.5080149699997,,
0.0003,0.587660551071167,10,526924,527025,1076,-32.23822021484375,672.04,48372,1928.1847533199998,,
